step,loss,grad_norm,learning_rate,rewards/answer_accuracy_reward,rewards/answer_format_reward,reward,reward_std,completion_length,kl,epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
1,0.0,1.1604945659637451,1e-06,0.1875,0.625,0.8125,0.375,18.5,0.0,0.0,,,,
2,0.0,0.9526183605194092,1e-06,0.3125,0.9375,1.25,0.5984617173671722,18.625,0.00015926361083984375,0.0,,,,
3,0.0001,0.18487070500850677,1e-06,0.0625,0.75,0.8125,0.125,43.375,0.0030841827392578125,0.01,,,,
4,0.0,0.7836641669273376,1e-06,0.25,0.9375,1.1875,0.47346171736717224,75.0625,0.00040435791015625,0.01,,,,
5,0.0,0.42894068360328674,1e-06,0.625,0.9375,1.5625,0.26933756470680237,11.9375,4.6253204345703125e-05,0.01,,,,
6,0.0,1.4127178192138672,1e-06,0.0,0.5625,0.5625,0.26933756470680237,35.875,0.00026428699493408203,0.01,,,,
7,0.0,1.456931471824646,1e-06,0.0,0.625,0.625,0.25,57.875,0.0005183219909667969,0.02,,,,
8,0.0,0.35591813921928406,1e-06,0.0625,0.6875,0.75,0.25,35.9375,0.00029850006103515625,0.02,,,,
9,0.0,2.1580593585968018,1e-06,0.1875,0.5625,0.75,0.5386751294136047,50.1875,0.00014495849609375,0.02,,,,
10,0.0,2.06666898727417,1e-06,0.3125,0.6875,1.0,0.7586943507194519,16.625,0.000728607177734375,0.02,,,,
11,0.0,0.7749927043914795,1e-06,0.125,0.75,0.875,0.4330126941204071,72.375,0.0003261566162109375,0.03,,,,
12,0.0,1.2870583534240723,1e-06,0.125,0.875,1.0,0.39433756470680237,78.875,0.000438690185546875,0.03,,,,
13,0.0,0.29758626222610474,1e-06,0.0,0.6875,0.6875,0.375,71.75,0.0003528594970703125,0.03,,,,
14,0.0,0.22824600338935852,1e-06,0.0,0.4375,0.4375,0.125,49.0,9.036064147949219e-05,0.03,,,,
15,0.0,1.43580961227417,1e-06,0.3125,0.8125,1.125,0.6143567860126495,51.8125,0.00010514259338378906,0.04,,,,
16,0.0,2.3833770751953125,1e-06,0.25,0.6875,0.9375,0.7780319154262543,13.8125,0.0005645751953125,0.04,,,,
17,0.0,0.8237883448600769,1e-06,0.1875,0.5,0.6875,0.5280319154262543,52.4375,0.0006246566772460938,0.04,,,,
18,0.0,1.3167332410812378,1e-06,0.125,0.375,0.5,0.5684809386730194,32.4375,0.00034925341606140137,0.04,,,,
19,0.0,1.1072324514389038,1e-06,0.0625,0.625,0.6875,0.3291241526603699,69.625,2.0265579223632812e-05,0.04,,,,
20,0.0,1.2238733768463135,1e-06,0.1875,0.75,0.9375,0.3836943507194519,61.625,0.00024890899658203125,0.05,,,,
21,0.0,0.5479210615158081,1e-06,0.4375,0.9375,1.375,0.4330126941204071,21.9375,0.0003421306610107422,0.05,,,,
22,0.0,1.8349697589874268,1e-06,0.1875,0.5625,0.75,0.4541241526603699,69.625,0.00075531005859375,0.05,,,,
23,0.0,3.4648239612579346,1e-06,0.125,0.4375,0.5625,0.5580126941204071,20.3125,0.0003247261047363281,0.05,,,,
24,0.0,1.1744863986968994,1e-06,0.25,0.625,0.875,0.5,41.75,0.00032329559326171875,0.06,,,,
25,0.0001,2.268066883087158,1e-06,0.125,0.625,0.75,0.5773502588272095,40.1875,0.001277923583984375,0.06,,,,
26,0.0,1.5218181610107422,1e-06,0.0,0.5,0.5,0.39433756470680237,85.625,0.00083160400390625,0.06,,,,
27,0.0,0.8602208495140076,1e-06,0.1875,0.8125,1.0,0.39433756470680237,56.3125,0.0006480216979980469,0.06,,,,
